"finding_id","file_path","line_number","severity","original_cvss","exclusion_reason","confidence_score","tool_source","original_rule_id","exclusion_category","review_status","timestamp"
"FP-GOSEC-015","test/e2e/framework/pod/resource.go","156","MEDIUM","5.5","Cryptographic test fixture - SHA1 usage in test resource hashing; may indicate copy-paste risk","0.72","gosec","G401","crypto_test_fixture","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-GOSEC-016","test/integration/auth/auth_test.go","289","MEDIUM","6.0","Cryptographic test fixture - Test authentication with weak crypto for testing purposes","0.70","gosec","G401","crypto_test_fixture","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-014","test/e2e/framework/security/security.go","123","MEDIUM","5.5","Cryptographic test fixture - Security test helpers with intentionally weak crypto for testing","0.73","semgrep","go.lang.security.audit.crypto.weak-crypto","crypto_test_fixture","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-GOSEC-017","test/fixtures/doc-yaml/admin/high-availability/etcd.yaml","45","MEDIUM","5.0","Example config - YAML fixture with example credentials; may be templated by users","0.74","gosec","G101","example_config","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-015","staging/src/k8s.io/client-go/examples/out-of-cluster-client-configuration/main.go","67","MEDIUM","5.5","Example config - Kubeconfig path handling in example; users may copy patterns","0.71","semgrep","go.lang.security.audit.path-traversal","example_config","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-TRIVY-001","test/images/agnhost/Dockerfile","12","MEDIUM","5.0","Test container image - agnhost test image Dockerfile; test infrastructure only","0.95","trivy","DS001","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-TRIVY-002","test/images/resource-consumer/Dockerfile","8","LOW","3.5","Test container image - Resource consumer test image; not production image","0.95","trivy","DS002","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-TRIVY-003","test/images/windows/Dockerfile","15","MEDIUM","4.5","Test container image - Windows test image Dockerfile","0.95","trivy","DS003","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"CRITICAL-REVIEW-001","pkg/kubelet/kubelet.go","1847","HIGH","7.5","CRITICAL: Path traversal finding - HIGH severity requires manual validation; NOT auto-excluded per policy","0.00","gosec","G304","not_excluded","REQUIRES_VALIDATION","2026-02-05T00:00:00Z"
"CRITICAL-REVIEW-002","staging/src/k8s.io/client-go/transport/round_trippers.go","312","HIGH","7.0","CRITICAL: SSRF pattern finding - HIGH severity requires manual validation; NOT auto-excluded per policy","0.00","gosec","G107","not_excluded","REQUIRES_VALIDATION","2026-02-05T00:00:00Z"
"CRITICAL-REVIEW-003","staging/src/k8s.io/apiserver/pkg/authentication/token/cache/cache.go","89","HIGH","7.5","CRITICAL: Weak crypto (SHA1) in authentication cache - HIGH severity requires manual validation; security-critical code path","0.00","gosec","G401","not_excluded","REQUIRES_VALIDATION","2026-02-05T00:00:00Z"
"CRITICAL-REVIEW-004","cmd/kube-apiserver/app/server.go","456","HIGH","8.0","CRITICAL: Command execution pattern - HIGH severity in API server requires manual validation; NOT auto-excluded per policy","0.00","gosec","G204","not_excluded","REQUIRES_VALIDATION","2026-02-05T00:00:00Z"
"CRITICAL-REVIEW-005","pkg/controller/job/job_controller.go","234","HIGH","7.5","CRITICAL: Authorization bypass pattern - HIGH severity requires manual validation; controller security critical","0.00","semgrep","go.lang.security.audit.authorization-bypass","not_excluded","REQUIRES_VALIDATION","2026-02-05T00:00:00Z"
